Date,Length-Mode,# of MSS in Agreement,Category,Correct
66.66666666666669,0,5,1,1001,1
66.66666666666669,0,5,1,1001,1
66.66666666666669,-1,2,1,1001,0
66.66666666666669,3,2,1,1001,0
66.66666666666669,0,4,1,1001,1
66.66666666666669,2,1,1,1001,0
66.66666666666669,0,3,1,1001,1
66.66666666666669,-1,1,1,1001,0
66.66666666666669,1,1,1,1001,0
66.66666666666669,0,1,1,1001,0
66.66666666666669,0,5,1,1001,1
66.66666666666669,-1,1,1,1001,0
66.66666666666669,-2,1,1,1001,0
66.66666666666669,-1,1,1,1001,0
66.66666666666669,-11,1,1,1001,0
66.66666666666669,0,4,1,1001,1
66.66666666666669,-8,1,1,1001,0
66.66666666666669,-3,1,1,1001,0
66.66666666666669,-8,1,1,1001,0
66.66666666666669,-14,1,1,1001,0
66.66666666666669,-5,1,1,1001,0
66.66666666666669,0,1,1,1001,0
66.66666666666669,0,3,1,1001,1
66.66666666666669,0,5,1,1001,1
66.66666666666669,-16,1,1,1001,0
66.66666666666669,2,1,1,1001,0
66.66666666666669,-4,1,1,1001,0
66.66666666666669,7,1,1,1001,0
66.66666666666669,-2,1,1,1001,0
66.66666666666669,0,5,1,1001,1
66.66666666666669,0,4,1,1001,1
66.66666666666669,-4,1,1,1001,0
66.66666666666669,3,1,1,1001,0
66.66666666666669,4,2,1,1001,0
66.66666666666669,-2,1,1,1001,0
66.66666666666669,0,5,1,1001,1
66.66666666666669,-3,1,1,1001,0
66.66666666666669,-10,1,1,1001,0
66.66666666666669,-2,1,1,1001,0
66.66666666666669,-3,1,1,1001,0
66.66666666666669,0,1,1,1001,0
66.66666666666669,0,2,1,1001,1
66.66666666666669,-3,1,1,1001,0
66.66666666666669,-4,1,1,1001,0
66.66666666666669,-1,1,1,1001,0
66.66666666666669,-4,1,1,1001,0
66.66666666666669,4,1,1,1001,0
66.66666666666669,0,1,1,1001,0
66.66666666666669,6,1,1,1001,0
66.66666666666669,2,1,1,1001,0
66.66666666666669,1,1,1,1001,0
-23.333333333333314,-3,1,1,5,0
-23.333333333333314,0,5,1,5,1
-23.333333333333314,-12,1,1,5,0
-23.333333333333314,0,2,1,5,1
-23.333333333333314,-3,1,1,5,0
-23.333333333333314,0,3,1,5,1
-23.333333333333314,0,4,1,5,1
-23.333333333333314,0,5,1,5,1
-23.333333333333314,0,4,1,5,1
-23.333333333333314,0,3,1,5,1
-23.333333333333314,0,3,1,5,1
-23.333333333333314,4,2,1,5,0
-23.333333333333314,-6,1,1,5,0
-23.333333333333314,0,5,1,5,1
-23.333333333333314,-5,1,1,5,0
-23.333333333333314,-2,1,1,5,0
-23.333333333333314,0,3,1,5,1
-23.333333333333314,-3,1,1,5,0
126.66666666666669,0,5,4,1005,1
126.66666666666669,0,5,4,1005,1
126.66666666666669,-1,1,4,1005,0
126.66666666666669,3,2,4,1005,0
126.66666666666669,0,4,4,1005,1
126.66666666666669,4,1,4,1005,0
126.66666666666669,1,1,4,1005,0
126.66666666666669,0,3,4,1005,1
126.66666666666669,0,4,4,1005,1
126.66666666666669,0,3,4,1005,1
126.66666666666669,0,5,4,1005,1
126.66666666666669,-6,1,4,1005,0
126.66666666666669,-5,1,4,1005,0
126.66666666666669,-1,1,4,1005,0
126.66666666666669,-6,1,4,1005,0
126.66666666666669,-27,1,4,1005,0
-123.33333333333331,0,5,1,66,1
-123.33333333333331,0,5,1,66,1
-123.33333333333331,-1,2,1,66,0
-123.33333333333331,-2,1,1,66,0
-123.33333333333331,0,4,1,66,1
-123.33333333333331,0,2,1,66,1
-123.33333333333331,0,3,1,66,1
-123.33333333333331,1,1,1,66,0
-123.33333333333331,0,4,1,66,1
-123.33333333333331,-3,1,1,66,0
-123.33333333333331,0,5,1,66,1
-123.33333333333331,0,3,1,66,1
-123.33333333333331,1,1,1,66,0
-123.33333333333331,0,1,1,66,0
-123.33333333333331,-1,1,1,66,0
-123.33333333333331,0,4,1,66,1
-123.33333333333331,1,1,1,66,0
-123.33333333333331,0,1,1,66,0
-123.33333333333331,-9,1,1,66,0
-123.33333333333331,-1,1,1,66,0
-123.33333333333331,-2,1,1,66,0
-123.33333333333331,2,2,1,66,0
-123.33333333333331,0,1,1,66,0
-123.33333333333331,0,5,1,66,1
-123.33333333333331,-2,1,1,66,0
-123.33333333333331,1,1,1,66,0
-123.33333333333331,0,1,1,66,0
-123.33333333333331,5,1,1,66,0
-123.33333333333331,0,4,1,66,1
-123.33333333333331,0,5,1,66,1
-123.33333333333331,0,4,1,66,1
-123.33333333333331,2,1,1,66,0
-123.33333333333331,3,1,1,66,0
-123.33333333333331,0,2,1,66,1
-123.33333333333331,-1,1,1,66,0
-123.33333333333331,0,5,1,66,1
-123.33333333333331,0,2,1,66,0
-123.33333333333331,5,1,1,66,0
-123.33333333333331,2,1,1,66,0
-123.33333333333331,3,1,1,66,0
-123.33333333333331,0,3,1,66,1
-123.33333333333331,5,1,1,66,0
-123.33333333333331,-2,1,1,66,0
-123.33333333333331,0,3,1,66,1
-123.33333333333331,-4,1,1,66,0
-123.33333333333331,-5,1,1,66,0
-123.33333333333331,1,1,1,66,0
-123.33333333333331,-3,1,1,66,0
-123.33333333333331,2,1,1,66,0
-123.33333333333331,-2,1,1,66,0
-123.33333333333331,0,1,1,66,0
-123.33333333333331,0,5,1,75,1
-123.33333333333331,0,5,1,75,1
-123.33333333333331,0,2,1,75,1
-123.33333333333331,0,2,1,75,1
-123.33333333333331,2,1,1,75,0
-123.33333333333331,-1,1,1,75,0
-123.33333333333331,0,1,1,75,0
-123.33333333333331,0,3,1,75,1
-123.33333333333331,0,4,1,75,1
-123.33333333333331,0,3,1,75,1
-123.33333333333331,0,5,1,75,1
-123.33333333333331,0,3,1,75,1
-123.33333333333331,-1,1,1,75,0
-123.33333333333331,0,2,1,75,1
-123.33333333333331,-2,1,1,75,0
-123.33333333333331,0,4,1,75,1
-123.33333333333331,0,1,1,75,1
-123.33333333333331,1,1,1,75,0
-123.33333333333331,-9,1,1,75,0
-123.33333333333331,0,2,1,75,1
-123.33333333333331,1,1,1,75,0
-123.33333333333331,2,2,1,75,0
-123.33333333333331,0,3,1,75,1
-123.33333333333331,0,5,1,75,1
-123.33333333333331,1,1,1,75,0
-123.33333333333331,-5,1,1,75,0
-123.33333333333331,-2,1,1,75,0
-123.33333333333331,0,3,1,75,1
-123.33333333333331,0,4,1,75,1
-123.33333333333331,0,5,1,75,1
-123.33333333333331,-1,1,1,75,0
-123.33333333333331,0,3,1,75,1
-123.33333333333331,0,3,1,75,1
-123.33333333333331,0,1,1,75,0
-123.33333333333331,-6,1,1,75,0
-123.33333333333331,0,5,1,75,1
-123.33333333333331,0,2,1,75,0
-123.33333333333331,1,1,1,75,0
-123.33333333333331,0,3,1,75,1
-123.33333333333331,0,1,1,75,0
-123.33333333333331,0,3,1,75,1
-123.33333333333331,2,1,1,75,0
-123.33333333333331,0,2,1,75,1
-123.33333333333331,0,3,1,75,1
-123.33333333333331,0,1,1,75,0
-123.33333333333331,0,1,1,75,0
-123.33333333333331,0,1,1,75,0
-123.33333333333331,1,1,1,75,0
-123.33333333333331,1,1,1,75,0
-123.33333333333331,1,1,1,75,0
-123.33333333333331,-15,1,1,75,0
76.66666666666669,0,5,4,1003,1
76.66666666666669,0,5,4,1003,1
76.66666666666669,0,2,4,1003,1
76.66666666666669,0,2,4,1003,1
76.66666666666669,0,4,4,1003,1
76.66666666666669,0,2,4,1003,1
76.66666666666669,0,3,4,1003,1
76.66666666666669,0,3,4,1003,1
76.66666666666669,0,4,4,1003,1
76.66666666666669,0,3,4,1003,1
76.66666666666669,0,5,4,1003,1
76.66666666666669,0,3,4,1003,1
76.66666666666669,0,1,4,1003,1
76.66666666666669,0,2,4,1003,1
76.66666666666669,0,1,4,1003,1
76.66666666666669,0,4,4,1003,1
76.66666666666669,0,1,4,1003,0
76.66666666666669,0,1,4,1003,1
76.66666666666669,0,1,4,1003,1
76.66666666666669,0,2,4,1003,1
76.66666666666669,0,1,4,1003,1
76.66666666666669,0,1,4,1003,1
76.66666666666669,0,3,4,1003,1
76.66666666666669,0,5,4,1003,1
76.66666666666669,0,1,4,1003,1
76.66666666666669,0,2,4,1003,1
76.66666666666669,0,1,4,1003,1
76.66666666666669,0,3,4,1003,1
76.66666666666669,0,4,4,1003,1
76.66666666666669,0,5,4,1003,1
76.66666666666669,0,4,4,1003,1
76.66666666666669,0,3,4,1003,1
76.66666666666669,0,3,4,1003,1
76.66666666666669,0,2,4,1003,1
76.66666666666669,0,1,4,1003,1
76.66666666666669,0,5,4,1003,1
76.66666666666669,0,1,4,1003,1
76.66666666666669,0,1,4,1003,1
76.66666666666669,0,3,4,1003,1
76.66666666666669,0,1,4,1003,1
76.66666666666669,0,3,4,1003,1
76.66666666666669,0,2,4,1003,1
76.66666666666669,0,2,4,1003,1
76.66666666666669,0,3,4,1003,1
76.66666666666669,0,1,4,1003,0
76.66666666666669,0,1,4,1003,1
76.66666666666669,0,1,4,1003,1
76.66666666666669,0,1,4,1003,1
76.66666666666669,0,1,4,1003,1
76.66666666666669,0,1,4,1003,1
76.66666666666669,0,1,4,1003,1
-97.5,0,3,1,66,1
-97.5,-3,1,1,66,0
-97.5,0,3,1,66,1
-97.5,0,2,1,66,1
-97.5,2,1,1,66,0
-97.5,-1,1,1,66,0
-97.5,0,3,1,66,1
-97.5,2,1,1,66,0
-97.5,2,2,1,66,0
-97.5,0,2,1,66,1
-97.5,9,1,1,66,0
-97.5,2,1,1,66,0
-97.5,3,1,1,66,0
-97.5,0,2,1,66,1
-97.5,5,1,1,66,0
-97.5,5,1,1,66,0
-97.5,2,1,1,66,0
-97.5,-2,1,1,66,0
-97.5,1,1,1,66,0
-97.5,0,3,1,66,1
-97.5,0,2,1,66,1
-97.5,1,1,1,66,0
-97.5,-1,2,1,66,0
-97.5,1,1,1,66,0
-97.5,-7,1,1,66,0
-97.5,2,1,1,75,0
-97.5,0,3,1,75,1
-97.5,0,3,1,75,1
-97.5,-3,1,1,75,0
-97.5,1,1,1,75,0
-97.5,-5,1,1,75,0
-97.5,0,3,1,75,1
-97.5,1,1,1,75,0
-97.5,2,2,1,75,0
-97.5,0,1,1,75,0
-97.5,0,2,1,75,1
-97.5,-5,1,1,75,0
-97.5,0,1,1,75,0
-97.5,6,1,1,75,0
-97.5,5,1,1,75,0
-97.5,0,1,1,75,0
-97.5,3,1,1,75,0
-97.5,-4,1,1,75,0
-97.5,0,2,1,75,1
-97.5,0,3,1,75,1
-97.5,-1,1,1,75,0
-97.5,0,3,1,75,1
-97.5,0,2,1,75,1
-97.5,-4,1,1,75,0
-97.5,-12,1,1,75,0
92.5,0,3,1,1001,1
92.5,0,3,1,1001,1
92.5,22,1,1,1001,0
92.5,-3,1,1,1001,0
92.5,1,1,1,1001,0
92.5,-8,1,1,1001,0
92.5,3,1,1,1001,0
92.5,0,2,1,1001,1
92.5,-1,1,1,1001,0
92.5,-2,1,1,1001,0
92.5,3,1,1,1001,0
92.5,-18,1,1,1001,0
92.5,-2,1,1,1001,0
92.5,5,1,1,1001,0
92.5,1,1,1,1001,0
92.5,1,1,1,1001,0
92.5,0,2,1,1001,1
92.5,-2,1,1,1001,0
92.5,1,1,1,1001,0
92.5,-2,1,1,1001,0
92.5,-5,1,1,1001,0
92.5,0,3,1,1001,1
92.5,-1,2,1,1001,0
92.5,-4,1,1,1001,0
92.5,6,1,1,1001,0
102.5,0,3,4,1003,1
102.5,0,3,4,1003,1
102.5,0,3,4,1003,1
102.5,0,2,4,1003,1
102.5,0,1,4,1003,1
102.5,0,1,4,1003,1
102.5,0,3,4,1003,1
102.5,0,2,4,1003,1
102.5,0,1,4,1003,1
102.5,0,2,4,1003,1
102.5,0,2,4,1003,1
102.5,0,1,4,1003,1
102.5,0,1,4,1003,1
102.5,0,2,4,1003,1
102.5,0,1,4,1003,1
102.5,0,1,4,1003,1
102.5,0,2,4,1003,1
102.5,0,1,4,1003,1
102.5,0,2,4,1003,1
102.5,0,3,4,1003,1
102.5,0,2,4,1003,1
102.5,0,3,4,1003,1
102.5,0,2,4,1003,1
102.5,0,1,4,1003,1
102.5,0,1,4,1003,1
-128.0,6,1,1,66,0
-128.0,0,1,1,66,0
-128.0,8,1,1,66,0
-128.0,-2,1,1,66,0
-128.0,-1,1,1,66,0
-128.0,2,1,1,66,0
-128.0,0,3,1,66,1
-128.0,0,2,1,66,1
-128.0,0,4,1,66,1
-128.0,1,2,1,66,0
-128.0,-5,1,1,66,0
-128.0,-1,1,1,66,0
-128.0,-1,1,1,66,0
-128.0,0,2,1,66,1
-128.0,0,1,1,66,0
-128.0,1,1,1,66,0
-128.0,-18,1,1,66,0
-128.0,0,3,1,66,1
-128.0,0,1,1,66,0
-128.0,0,1,1,66,0
-128.0,12,1,1,66,0
-128.0,-2,1,1,66,0
-128.0,1,1,1,66,0
-128.0,0,3,1,66,1
-128.0,0,1,1,66,0
-128.0,4,1,1,66,0
-128.0,1,1,1,66,0
-128.0,0,2,1,66,1
-128.0,0,3,1,66,1
-128.0,0,4,1,66,1
-128.0,-14,1,1,66,0
-128.0,0,3,1,66,1
-128.0,5,1,1,66,0
-128.0,-2,2,1,66,0
-128.0,0,4,1,66,1
-128.0,0,2,1,66,1
-128.0,1,1,1,75,0
-128.0,2,1,1,75,0
-128.0,1,1,1,75,0
-128.0,-1,1,1,75,0
-128.0,0,2,1,75,1
-128.0,0,3,1,75,1
-128.0,0,3,1,75,1
-128.0,0,1,1,75,0
-128.0,0,4,1,75,1
-128.0,1,2,1,75,0
-128.0,0,1,1,75,0
-128.0,-1,1,1,75,0
-128.0,0,3,1,75,1
-128.0,0,2,1,75,1
-128.0,0,2,1,75,1
-128.0,0,2,1,75,1
-128.0,0,2,1,75,1
-128.0,0,3,1,75,1
-128.0,0,2,1,75,1
-128.0,0,1,1,75,0
-128.0,0,2,1,75,1
-128.0,1,1,1,75,0
-128.0,-1,1,1,75,0
-128.0,0,3,1,75,1
-128.0,0,2,1,75,1
-128.0,1,1,1,75,0
-128.0,-2,1,1,75,0
-128.0,-3,1,1,75,0
-128.0,0,3,1,75,1
-128.0,0,4,1,75,1
-128.0,-16,1,1,75,0
-128.0,0,3,1,75,1
-128.0,0,4,1,75,1
-128.0,-1,1,1,75,0
-128.0,0,4,1,75,1
-128.0,-19,1,1,75,0
62.0,-2,1,1,1001,0
62.0,-1,1,1,1001,0
62.0,-11,1,1,1001,0
62.0,-1,1,1,1001,0
62.0,-4,1,1,1001,0
62.0,0,3,1,1001,1
62.0,-1,1,1,1001,0
62.0,11,1,1,1001,0
62.0,0,4,1,1001,1
62.0,0,1,1,1001,0
62.0,1,1,1,1001,0
62.0,1,1,1,1001,0
62.0,0,3,1,1001,1
62.0,0,1,1,1001,0
62.0,2,1,1,1001,0
62.0,-6,1,1,1001,0
62.0,-1,1,1,1001,0
62.0,-2,1,1,1001,0
62.0,0,1,1,1001,0
62.0,-21,1,1,1001,0
62.0,-56,1,1,1001,0
62.0,-2,1,1,1001,0
62.0,0,1,1,1001,0
62.0,-1,1,1,1001,0
62.0,2,1,1,1001,0
62.0,1,1,1,1001,0
62.0,-5,1,1,1001,0
62.0,-7,1,1,1001,0
62.0,0,1,1,1001,0
62.0,-1,1,1,1001,0
62.0,-13,1,1,1001,0
62.0,-7,1,1,1001,0
62.0,0,4,1,1001,1
62.0,-2,2,1,1001,0
62.0,0,4,1,1001,1
62.0,-5,1,1,1001,0
122.0,-32,1,1,1005,0
122.0,-1,1,1,1005,0
122.0,-5,1,1,1005,0
122.0,-4,1,1,1005,0
122.0,0,4,1,1005,1
122.0,-13,1,1,1005,0
122.0,-5,1,1,1005,0
122.0,0,4,1,1005,1
122.0,4,1,1,1005,0
122.0,-1,1,1,1005,0
122.0,2,1,1,1005,0
72.0,0,1,1,1003,1
72.0,0,1,1,1003,1
72.0,0,1,1,1003,1
72.0,0,1,1,1003,1
72.0,0,2,1,1003,1
72.0,0,3,1,1003,1
72.0,0,3,1,1003,1
72.0,0,2,1,1003,1
72.0,0,4,1,1003,1
72.0,0,1,1,1003,1
72.0,0,1,1,1003,1
72.0,0,1,1,1003,1
72.0,0,3,1,1003,1
72.0,0,1,1,1003,0
72.0,0,2,1,1003,1
72.0,0,2,1,1003,1
72.0,0,2,1,1003,1
72.0,0,3,1,1003,1
72.0,0,2,1,1003,1
72.0,0,1,1,1003,1
72.0,0,2,1,1003,1
72.0,0,1,1,1003,1
72.0,0,1,1,1003,1
72.0,0,3,1,1003,1
72.0,0,2,1,1003,1
72.0,0,1,1,1003,1
72.0,0,1,1,1003,1
72.0,0,2,1,1003,1
72.0,0,3,1,1003,1
72.0,0,4,1,1003,1
72.0,0,1,1,1003,1
72.0,0,3,1,1003,1
72.0,0,4,1,1003,1
72.0,0,1,1,1003,1
72.0,0,4,1,1003,1
72.0,0,2,1,1003,1
